food_code,food_name_en,food_name_bn,food_group,meal_slots,role,pairs_with_groups,compatibility_score,notes
O016,"Sheep, leg",ভেড়ার পা,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
O017,"Sheep, brain",ভেড়ার মগজ,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
O021,"Sheep, liver",ভেড়ার কলিজা,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
O022,"Sheep, tripe",ভেড়ার ভুঁড়ি,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
O025,"Beef, shoulder",গরুর কাঁধ,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
O026,"Beef, chops",গরুর চাপ,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
O027,"Beef, round (leg)",গরুর রন,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
O028,"Beef, brain",গরুর মগজ,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
O032,"Beef, liver",গরুর কলিজা,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
O033,"Beef, tripe",গরুর ভুরি,Animal Meat,"lunch,dinner",main,Cereals and Millets|Grain Legumes|Other Vegetables|Roots and Tubers|Spices and Condiments|Edible Oils and Fats,0.9,Meat curry served with rice. Beef/mutton/goat preferred at lunch or dinner. Not typical at breakfast.
14_0002,"Coffee infusion (instant with sugar and milk powder, whole fat)",মিল্ক কফি,Beverages,"breakfast,snack",supplementary,Cereals and Millets|Milk and Milk Products|Nuts and Oil Seeds,0.5,"Tea, coffee, soft drinks. Supplementary beverages consumed at breakfast or as snacks."
14_0003,"Coffee, powder",কফি,Beverages,"breakfast,snack",supplementary,Cereals and Millets|Milk and Milk Products|Nuts and Oil Seeds,0.5,"Tea, coffee, soft drinks. Supplementary beverages consumed at breakfast or as snacks."
14_0004,"Soft drinks, carbonated",কোমল পানীয়,Beverages,"breakfast,snack",supplementary,Cereals and Millets|Milk and Milk Products|Nuts and Oil Seeds,0.5,"Tea, coffee, soft drinks. Supplementary beverages consumed at breakfast or as snacks."
14_0005,Soya milk (not sweetened),সয়া দুধ,Beverages,"breakfast,snack",supplementary,Cereals and Millets|Milk and Milk Products|Nuts and Oil Seeds,0.5,"Tea, coffee, soft drinks. Supplementary beverages consumed at breakfast or as snacks."
14_0007,"Tea infusion (with sugar and milk powder, whole fat)",দুধ চা,Beverages,"breakfast,snack",supplementary,Cereals and Millets|Milk and Milk Products|Nuts and Oil Seeds,0.7,"Tea (cha) — the national beverage. Pairs with biscuits, roti, and puffed rice as a snack."
14_0008,"Tea, infusion (with sugar)",রং চা বা লাল চা,Beverages,"breakfast,snack",supplementary,Cereals and Millets|Milk and Milk Products|Nuts and Oil Seeds,0.5,"Tea, coffee, soft drinks. Supplementary beverages consumed at breakfast or as snacks."
14_0010,"Water, drinking",খাবার পানি,Beverages,"breakfast,snack",supplementary,Cereals and Millets|Milk and Milk Products|Nuts and Oil Seeds,0.5,"Tea, coffee, soft drinks. Supplementary beverages consumed at breakfast or as snacks."
01_0001,whole-grain Barley,বার্লি গোটা শস্য কাঁচা,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0002,"Bread, bun/roll",রুটি/রোল,Cereals and Millets,"breakfast,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,0.95,"Bread/roti — breakfast staple. Pairs with egg, dal, vegetables, and milk."
01_0003,"Bread, white, for toasting",পাউরুটি,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0006,"Millet, Foxtail, raw",কাওন বা কাউন চাল,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0008,"Pear millet, whole-grain, raw",বাজরা,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0009,"Popcorn, maize (salt added)",পপকর্ন,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0010,Rice flaked,চিড়া,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0011,"Rice flakes, white grain, water-soaked",চিড়া ভিজে,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0013,"Rice, BR-11, parboiled, milled, raw",ভাত (বিআর-১১),Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0014,"Rice, BR-16, parboiled, milled, raw",ভাত (বিআর-১৬),Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0015,"Rice, BR-26, parboiled, milled, raw",ভাত (বিআর-২৬),Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0016,"Rice, BR-3, parboiled, milled, raw",ভাত (বিআর-৩),Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0017,"Rice, BRRI Dhan-30, parboiled, milled, raw",ভাত (বিআরআরআই ধান-৩০),Cereals and Millets,"breakfast,lunch,dinner,snack",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Plain cooked rice (ভাত) — the cornerstone of every Bangladeshi meal. Universal pairing.
01_0018,"Rice, BRRI Dhan-40, parboiled, milled, raw",ভাত (বিআরআরআই ধান-৪০),Cereals and Millets,"lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,0.95,"Biriyani rice — festive preparation. Pairs with raita, salad, and meat."
01_0022,"Rice, popped",খই,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0023,"Rice, puffed, salted",মুড়ি,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0025,"Rice, white, sunned, polished, milled, raw",আতপ চাউলের ভাত,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0026,"Semolina, wheat, raw",সুজি,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0027,"Sorghum, raw",জোয়ার ধান বাজরা,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0028,"Sweet corn, yellow, on the cob, raw",ভুট্টা,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0029,"Vermicelli, wheat, raw",সেমাই,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0032,"Wheat flour, white, refined",ময়দা,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0033,"Wheat, whole, raw",গম,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0034,"Biscuit, sweet",মিষ্টি বিস্কুট,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0035,Plain Khichuri,খিচুড়ি,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0036,Plain pulao,প্লেইন পোলাও,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0037,"Rice, BR-28, boiled (without salt)",ভাত (বিআর-২৮),Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0038,"Rice, brown, home-pounded, boiled (without salt)",ভাত (ঢেঁকি ছাঁটা),Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0039,"Rice, brown, parboiled, milled, boiled (without salt)",ভাত (কোলেছাঁটা),Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
01_0042,Ruti,রুটি,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
A015,Rice raw milled,আতপ চাল,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
A016,Samai,সেমাই,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
A018,Wheat flour refined,ময়দা,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
A019,Wheat flour atta,আটা,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
A020,Wheat whole,আস্ত গম,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
A022,Wheat semolina,সুজি,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
A023,Wheat vermicelli,সেমাই,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
A024,Wheat vermicelli roasted,সেমাই,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
code,Barley,বার্লি,Cereals and Millets,"breakfast,lunch,dinner",staple,Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products|Milk and Milk Products|Spices and Condiments,1.0,Core staple. Rice/roti is the base of every Bangladeshi meal. Pairs with almost everything.
13_0001,"Butter, salted",মাখন,Edible Oils and Fats,"breakfast,lunch,dinner",condiment,Cereals and Millets|Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products,0.55,Cooking oils used in virtually all preparations. Mustard oil is the signature Bangladeshi cooking fat.
13_0002,Cottonseed oil,তুলাবীজের তেল,Edible Oils and Fats,"breakfast,lunch,dinner",condiment,Cereals and Millets|Grain Legumes|Animal Meat|Poultry|Marine Fish|Fresh Water Fish and Shellfish|Green Leafy Vegetables|Other Vegetables|Roots and Tubers|Egg and Egg Products,0.55,Cooking oils used in virtually all preparations. Mustard oil is the signature Bangladeshi cooking fat.
